metric_id,value,numerator,denominator,provenance,exclusions
final_answer_accuracy,1.000000,8,8,official,""
predicted_process_correctness_rate,0.000000,0,7,evaluator,"django__django-14017__n7sw8mU__agent: evaluator process status is inconclusive or missing"
adjudicated_process_correctness_rate,0.500000,4,8,human,""
incorrect_run_error_detection_accuracy,,0,0,mixed,""
exact_first_error_localization_accuracy,,0,0,mixed,""
within_one_step_localization_accuracy,,0,0,mixed,""
confirmed_invalid_exact_localization_accuracy,0.000000,0,4,mixed,""
confirmed_invalid_within_one_step_localization_accuracy,0.000000,0,4,mixed,""
correct_result_confirmed_problem_rate,0.571429,4,7,human,""
correct_result_evaluator_false_positive_rate,0.428571,3,7,human,""
